id,method,nsnp,b,se,CIlower,CIupper,pval,intercept,intercept_se,inter_CIlower,inter_CIupper,intercept_pval,hetero_Q,hetero_pvale,lo_ci,up_ci,or,or_lci95,or_uci95,fdr,gene,cancer,gene,cell
"CASP8_Monocyte, classical",Wald_ratio,1,-1.94E-05,0.000118672,NA,NA,0.870400705,NA,NA,NA,NA,NA,NA,NA,-0.000251957,0.000213235,0.999980639,0.999748074,1.000213258,0.982710401,CASP8,Bladder cancer,CASP8,"Monocyte, classical"
"CASP8_B cell, naive",Wald_ratio,1,-2.80E-05,0.000171903,NA,NA,0.870400705,NA,NA,NA,NA,NA,NA,NA,-0.000364976,0.000308884,0.999971954,0.999635091,1.000308932,0.982710401,CASP8,Bladder cancer,CASP8,"B cell, naive"
"CASP8_T cell, CD4, TH1 TH17",Wald_ratio,1,-2.04E-05,0.000125202,NA,NA,0.870400705,NA,NA,NA,NA,NA,NA,NA,-0.000265823,0.000224969,0.999979574,0.999734213,1.000224995,0.982710401,CASP8,Bladder cancer,CASP8,"T cell, CD4, TH1 TH17"
"CASP8_T cell, CD4, TH17",Wald_ratio,1,-2.02E-05,0.000123603,NA,NA,0.870400705,NA,NA,NA,NA,NA,NA,NA,-0.000262428,0.000222097,0.999979834,0.999737606,1.000222121,0.982710401,CASP8,Bladder cancer,CASP8,"T cell, CD4, TH17"
"CASP8_T cell, CD4, naive",Wald_ratio,1,-2.02E-05,0.000124029,NA,NA,0.870400705,NA,NA,NA,NA,NA,NA,NA,-0.000263333,0.000222862,0.999979765,0.999736702,1.000222887,0.982710401,CASP8,Bladder cancer,CASP8,"T cell, CD4, naive"
"CASP8_T cell, CD4, naive TREG",Wald_ratio,1,-2.08E-05,0.000127277,NA,NA,0.870400705,NA,NA,NA,NA,NA,NA,NA,-0.000270229,0.000228698,0.999979235,0.999729808,1.000228724,0.982710401,CASP8,Bladder cancer,CASP8,"T cell, CD4, naive TREG"
"CASP8_T cell, CD4, TFH",Wald_ratio,1,-1.96E-05,0.000120039,NA,NA,0.870400705,NA,NA,NA,NA,NA,NA,NA,-0.00025486,0.000215692,0.999980416,0.999745172,1.000215715,0.982710401,CASP8,Bladder cancer,CASP8,"T cell, CD4, TFH"
"CASP8_T cell, CD4, memory TREG",Wald_ratio,1,-1.95E-05,0.000119479,NA,NA,0.870400705,NA,NA,NA,NA,NA,NA,NA,-0.000253672,0.000214686,0.999980507,0.99974636,1.000214709,0.982710401,CASP8,Bladder cancer,CASP8,"T cell, CD4, memory TREG"
"CASP8_Monocyte, non-classical",Wald_ratio,1,-6.43E-05,0.000123737,NA,NA,0.603308853,NA,NA,NA,NA,NA,NA,NA,-0.000306824,0.000178224,0.999935703,0.999693224,1.00017824,0.961249275,CASP8,Bladder cancer,CASP8,"Monocyte, non-classical"
"CASP8_NK cell, CD56dim CD16+",Wald_ratio,1,-6.83E-05,0.000131398,NA,NA,0.603308853,NA,NA,NA,NA,NA,NA,NA,-0.000325821,0.000189259,0.999931722,0.999674232,1.000189277,0.961249275,CASP8,Bladder cancer,CASP8,"NK cell, CD56dim CD16+"
"RP1-228P16.1_T cell, CD4, TH1",Wald_ratio,1,2.03E-05,0.00015969,NA,NA,0.898948803,NA,NA,NA,NA,NA,NA,NA,-0.000292714,0.000333272,1.000020279,0.999707329,1.000333328,0.98941104,RP1-228P16.1,Bladder cancer,RP1-228P16.1,"T cell, CD4, TH1"
"C10orf32_T cell, CD4, TFH",Wald_ratio,1,-9.62E-05,0.000174172,NA,NA,0.580868309,NA,NA,NA,NA,NA,NA,NA,-0.000437541,0.000245214,0.999903841,0.999562555,1.000245244,0.961249275,C10orf32,Bladder cancer,C10orf32,"T cell, CD4, TFH"
"C10orf32_T cell, CD4, TH2",Wald_ratio,1,-6.90E-05,0.000158068,NA,NA,0.662560875,NA,NA,NA,NA,NA,NA,NA,-0.000378791,0.000240835,0.999931025,0.999621281,1.000240864,0.961249275,C10orf32,Bladder cancer,C10orf32,"T cell, CD4, TH2"
"RAB7L1_T cell, CD4, memory TREG",Wald_ratio,1,-0.000101893,0.000207549,NA,NA,0.623472658,NA,NA,NA,NA,NA,NA,NA,-0.00050869,0.000304904,0.999898112,0.999491439,1.00030495,0.961249275,RAB7L1,Bladder cancer,RAB7L1,"T cell, CD4, memory TREG"
"POLI_T cell, CD4, TH17",Wald_ratio,1,-0.000267133,0.000134481,NA,NA,0.046989043,NA,NA,NA,NA,NA,NA,NA,-0.000530715,-3.55E-06,0.999732903,0.999469426,0.99999645,0.842479245,POLI,Bladder cancer,POLI,"T cell, CD4, TH17"
"POLI_T cell, CD4, TH2",Wald_ratio,1,-0.000264767,0.00013329,NA,NA,0.046989043,NA,NA,NA,NA,NA,NA,NA,-0.000526016,-3.52E-06,0.999735268,0.999474122,0.999996481,0.842479245,POLI,Bladder cancer,POLI,"T cell, CD4, TH2"
"POLI_T cell, CD4, TH1",Wald_ratio,1,-0.000267533,0.000134682,NA,NA,0.046989043,NA,NA,NA,NA,NA,NA,NA,-0.00053151,-3.56E-06,0.999732503,0.999468631,0.999996445,0.842479245,POLI,Bladder cancer,POLI,"T cell, CD4, TH1"
"POLI_T cell, CD4, TH1 TH17",Wald_ratio,1,-0.000264484,0.000133147,NA,NA,0.046989043,NA,NA,NA,NA,NA,NA,NA,-0.000525453,-3.51E-06,0.999735551,0.999474685,0.999996485,0.842479245,POLI,Bladder cancer,POLI,"T cell, CD4, TH1 TH17"
"POLI_T cell, CD8, naive",Wald_ratio,1,-0.000267785,0.000134809,NA,NA,0.046989043,NA,NA,NA,NA,NA,NA,NA,-0.000532011,-3.56E-06,0.999732251,0.99946813,0.999996441,0.842479245,POLI,Bladder cancer,POLI,"T cell, CD8, naive"
"POLI_T cell, CD4, naive TREG",Wald_ratio,1,-0.000242532,0.000122096,NA,NA,0.046989043,NA,NA,NA,NA,NA,NA,NA,-0.000481841,-3.22E-06,0.999757497,0.999518275,0.999996777,0.842479245,POLI,Bladder cancer,POLI,"T cell, CD4, naive TREG"
"POLI_Monocyte, classical",Wald_ratio,1,-0.000276954,0.000139425,NA,NA,0.046989043,NA,NA,NA,NA,NA,NA,NA,-0.000550228,-3.68E-06,0.999723084,0.999449924,0.999996319,0.842479245,POLI,Bladder cancer,POLI,"Monocyte, classical"
"POLI_T cell, CD8, naive activated",Wald_ratio,1,-0.000329735,0.000165996,NA,NA,0.046989043,NA,NA,NA,NA,NA,NA,NA,-0.000655087,-4.38E-06,0.99967032,0.999345127,0.999995618,0.842479245,POLI,Bladder cancer,POLI,"T cell, CD8, naive activated"
"POLI_T cell, CD4, TFH",Wald_ratio,1,-0.000310156,0.00015614,NA,NA,0.046989043,NA,NA,NA,NA,NA,NA,NA,-0.000616189,-4.12E-06,0.999689893,0.999384001,0.999995878,0.842479245,POLI,Bladder cancer,POLI,"T cell, CD4, TFH"
"MAP2K1_T cell, CD4, naive TREG",Wald_ratio,1,-4.96E-05,0.000140226,NA,NA,0.723317282,NA,NA,NA,NA,NA,NA,NA,-0.000324488,0.0002252,0.999950357,0.999675565,1.000225225,0.961359841,MAP2K1,Bladder cancer,MAP2K1,"T cell, CD4, naive TREG"
"PFKM_NK cell, CD56dim CD16+",Wald_ratio,1,-1.41E-05,0.000157223,NA,NA,0.928462037,NA,NA,NA,NA,NA,NA,NA,-0.000322273,0.000294042,0.999985885,0.999677779,1.000294085,0.993971085,PFKM,Bladder cancer,PFKM,"NK cell, CD56dim CD16+"
"C10orf32_Monocyte, non-classical",Wald_ratio,1,-8.86E-05,0.000154614,NA,NA,0.566475886,NA,NA,NA,NA,NA,NA,NA,-0.000391677,0.000214412,0.999911371,0.9996084,1.000214435,0.961249275,C10orf32,Bladder cancer,C10orf32,"Monocyte, non-classical"
"SNX32_B cell, naive",Wald_ratio,1,-0.000352798,0.000129736,NA,NA,0.006541183,NA,NA,NA,NA,NA,NA,NA,-0.000607081,-9.85E-05,0.999647264,0.999393103,0.99990149,0.600837402,SNX32,Bladder cancer,SNX32,"B cell, naive"
"NSUN4_B cell, naive",Wald_ratio,1,5.04E-05,0.00012556,NA,NA,0.687907268,NA,NA,NA,NA,NA,NA,NA,-0.000195661,0.000296535,1.000050438,0.999804358,1.000296579,0.961249275,NSUN4,Bladder cancer,NSUN4,"B cell, naive"
"CTSK_T cell, CD4, naive activated",Wald_ratio,1,-0.000143764,0.000179637,NA,NA,0.423533437,NA,NA,NA,NA,NA,NA,NA,-0.000495852,0.000208324,0.999856246,0.999504271,1.000208345,0.958539223,CTSK,Bladder cancer,CTSK,"T cell, CD4, naive activated"
"CERS2_T cell, CD4, memory TREG",Wald_ratio,1,7.26E-05,0.000170399,NA,NA,0.670140595,NA,NA,NA,NA,NA,NA,NA,-0.0002614,0.000406565,1.000072585,0.999738634,1.000406648,0.961249275,CERS2,Bladder cancer,CERS2,"T cell, CD4, memory TREG"
"CERS2_T cell, CD4, TH17",Wald_ratio,1,7.40E-05,0.000194674,NA,NA,0.703787179,NA,NA,NA,NA,NA,NA,NA,-0.000307543,0.000455579,1.00007402,0.999692504,1.000455683,0.961359841,CERS2,Bladder cancer,CERS2,"T cell, CD4, TH17"
"ECHDC2_T cell, CD4, TH17",Wald_ratio,1,-0.000211009,0.000157059,NA,NA,0.179107651,NA,NA,NA,NA,NA,NA,NA,-0.000518844,9.68E-05,0.999789013,0.99948129,1.00009683,0.891321263,ECHDC2,Bladder cancer,ECHDC2,"T cell, CD4, TH17"
"ECHDC2_T cell, CD4, TH1",Wald_ratio,1,-0.000197182,0.000146767,NA,NA,0.179107651,NA,NA,NA,NA,NA,NA,NA,-0.000484845,9.05E-05,0.999802837,0.999515272,1.000090485,0.891321263,ECHDC2,Bladder cancer,ECHDC2,"T cell, CD4, TH1"
"ECHDC2_NK cell, CD56dim CD16+",Wald_ratio,1,-0.000216067,0.000160823,NA,NA,0.179107651,NA,NA,NA,NA,NA,NA,NA,-0.000531281,9.91E-05,0.999783956,0.99946886,1.000099151,0.891321263,ECHDC2,Bladder cancer,ECHDC2,"NK cell, CD56dim CD16+"
"ECHDC2_T cell, CD4, memory TREG",Wald_ratio,1,-0.000180529,0.000134372,NA,NA,0.179107651,NA,NA,NA,NA,NA,NA,NA,-0.000443898,8.28E-05,0.999819487,0.999556201,1.000082842,0.891321263,ECHDC2,Bladder cancer,ECHDC2,"T cell, CD4, memory TREG"
"SNX32_T cell, CD4, TFH",Wald_ratio,1,-0.000384158,0.000133394,NA,NA,0.003978262,NA,NA,NA,NA,NA,NA,NA,-0.00064561,-0.000122706,0.999615916,0.999354599,0.999877301,0.591681607,SNX32,Bladder cancer,SNX32,"T cell, CD4, TFH"
"SNX32_T cell, CD4, TH1 TH17",Wald_ratio,1,-0.000358464,0.000124472,NA,NA,0.003978262,NA,NA,NA,NA,NA,NA,NA,-0.000602429,-0.000114499,0.9996416,0.999397752,0.999885507,0.591681607,SNX32,Bladder cancer,SNX32,"T cell, CD4, TH1 TH17"
"SNX32_T cell, CD8, naive",Wald_ratio,1,-0.000408472,0.000141836,NA,NA,0.003978262,NA,NA,NA,NA,NA,NA,NA,-0.000686471,-0.000130472,0.999591612,0.999313765,0.999869536,0.591681607,SNX32,Bladder cancer,SNX32,"T cell, CD8, naive"
"SNX32_T cell, CD4, naive",Wald_ratio,1,-0.000448137,0.00015561,NA,NA,0.003978262,NA,NA,NA,NA,NA,NA,NA,-0.000753132,-0.000143142,0.999551963,0.999247151,0.999856868,0.591681607,SNX32,Bladder cancer,SNX32,"T cell, CD4, naive"
"SNX32_Monocyte, non-classical",Wald_ratio,1,-0.000326223,0.000113277,NA,NA,0.003978262,NA,NA,NA,NA,NA,NA,NA,-0.000548245,-0.000104201,0.99967383,0.999451905,0.999895804,0.591681607,SNX32,Bladder cancer,SNX32,"Monocyte, non-classical"
"SNX32_T cell, CD4, naive activated",Wald_ratio,1,-0.000321113,0.000111502,NA,NA,0.003978262,NA,NA,NA,NA,NA,NA,NA,-0.000539658,-0.000102569,0.999678938,0.999460488,0.999897437,0.591681607,SNX32,Bladder cancer,SNX32,"T cell, CD4, naive activated"
"SNX32_T cell, CD4, memory TREG",Wald_ratio,1,-0.000383562,0.000133187,NA,NA,0.003978262,NA,NA,NA,NA,NA,NA,NA,-0.000644608,-0.000122516,0.999616511,0.9993556,0.999877492,0.591681607,SNX32,Bladder cancer,SNX32,"T cell, CD4, memory TREG"
"SNX32_T cell, CD8, naive activated",Wald_ratio,1,-0.000307333,0.000106717,NA,NA,0.003978262,NA,NA,NA,NA,NA,NA,NA,-0.000516498,-9.82E-05,0.999692714,0.999483635,0.999901838,0.591681607,SNX32,Bladder cancer,SNX32,"T cell, CD8, naive activated"
"SNX32_T cell, CD4, TH17",Wald_ratio,1,-0.000390027,0.000135432,NA,NA,0.003978262,NA,NA,NA,NA,NA,NA,NA,-0.000655473,-0.000124581,0.999610049,0.999344742,0.999875427,0.591681607,SNX32,Bladder cancer,SNX32,"T cell, CD4, TH17"
"SNX32_Monocyte, classical",Wald_ratio,1,-0.000376989,0.000130904,NA,NA,0.003978262,NA,NA,NA,NA,NA,NA,NA,-0.000633562,-0.000120416,0.999623082,0.999366639,0.999879591,0.591681607,SNX32,Bladder cancer,SNX32,"Monocyte, classical"
"SNX32_T cell, CD4, naive TREG",Wald_ratio,1,-0.000395171,0.000137218,NA,NA,0.003978262,NA,NA,NA,NA,NA,NA,NA,-0.000664119,-0.000126224,0.999604907,0.999336102,0.999873784,0.591681607,SNX32,Bladder cancer,SNX32,"T cell, CD4, naive TREG"
"SNX32_T cell, CD4, TH2",Wald_ratio,1,-0.000435311,0.000151156,NA,NA,0.003978262,NA,NA,NA,NA,NA,NA,NA,-0.000731576,-0.000139045,0.999564784,0.999268691,0.999860964,0.591681607,SNX32,Bladder cancer,SNX32,"T cell, CD4, TH2"
"SNX32_NK cell, CD56dim CD16+",Wald_ratio,1,-0.000349149,0.000121237,NA,NA,0.003978262,NA,NA,NA,NA,NA,NA,NA,-0.000586774,-0.000111524,0.999650912,0.999413398,0.999888482,0.591681607,SNX32,Bladder cancer,SNX32,"NK cell, CD56dim CD16+"
"RP11-503G7.2_Monocyte, non-classical",Wald_ratio,1,-6.92E-05,0.000143117,NA,NA,0.628909251,NA,NA,NA,NA,NA,NA,NA,-0.000349673,0.000211346,0.999930839,0.999650388,1.000211369,0.961249275,RP11-503G7.2,Bladder cancer,RP11-503G7.2,"Monocyte, non-classical"
"RP11-503G7.2_B cell, naive",Wald_ratio,1,-7.86E-05,0.000162728,NA,NA,0.628909251,NA,NA,NA,NA,NA,NA,NA,-0.000397588,0.000240307,0.999921363,0.999602491,1.000240336,0.961249275,RP11-503G7.2,Bladder cancer,RP11-503G7.2,"B cell, naive"
"RP11-503G7.2_T cell, CD4, naive TREG",Wald_ratio,1,-8.17E-05,0.00016913,NA,NA,0.628909251,NA,NA,NA,NA,NA,NA,NA,-0.000413229,0.000249761,0.999918269,0.999586856,1.000249792,0.961249275,RP11-503G7.2,Bladder cancer,RP11-503G7.2,"T cell, CD4, naive TREG"
"RP11-503G7.2_T cell, CD8, naive",Wald_ratio,1,-7.43E-05,0.000153681,NA,NA,0.628909251,NA,NA,NA,NA,NA,NA,NA,-0.000375483,0.000226947,0.999925734,0.999624587,1.000226972,0.961249275,RP11-503G7.2,Bladder cancer,RP11-503G7.2,"T cell, CD8, naive"
"MAP2K1_T cell, CD4, naive",Wald_ratio,1,1.59E-05,0.000156892,NA,NA,0.919035155,NA,NA,NA,NA,NA,NA,NA,-0.000291561,0.000323456,1.000015948,0.999708482,1.000323509,0.993971085,MAP2K1,Bladder cancer,MAP2K1,"T cell, CD4, naive"
"RP11-617D20.1_NK cell, CD56dim CD16+",Wald_ratio,1,0.000172577,0.000127616,NA,NA,0.176274465,NA,NA,NA,NA,NA,NA,NA,-7.76E-05,0.000422705,1.000172592,0.999922453,1.000422794,0.891321263,RP11-617D20.1,Bladder cancer,RP11-617D20.1,"NK cell, CD56dim CD16+"
"RP11-617D20.1_T cell, CD4, naive activated",Wald_ratio,1,0.000177919,0.000131566,NA,NA,0.176274465,NA,NA,NA,NA,NA,NA,NA,-8.00E-05,0.000435788,1.000177935,0.999920053,1.000435883,0.891321263,RP11-617D20.1,Bladder cancer,RP11-617D20.1,"T cell, CD4, naive activated"
"RP11-589M4.2_T cell, CD4, TH17",Wald_ratio,1,-0.000287433,0.000142433,NA,NA,0.04358854,NA,NA,NA,NA,NA,NA,NA,-0.000566601,-8.26E-06,0.999712608,0.999433559,0.999991735,0.842479245,RP11-589M4.2,Bladder cancer,RP11-589M4.2,"T cell, CD4, TH17"
"IREB2_Monocyte, classical",Wald_ratio,1,-0.000386254,0.000173462,NA,NA,0.025965094,NA,NA,NA,NA,NA,NA,NA,-0.00072624,-4.63E-05,0.99961382,0.999274024,0.999953733,0.827775883,IREB2,Bladder cancer,IREB2,"Monocyte, classical"
"GTF2A2_T cell, CD4, memory TREG",Wald_ratio,1,-0.000461512,0.000185347,NA,NA,0.012774829,NA,NA,NA,NA,NA,NA,NA,-0.000824793,-9.82E-05,0.999538594,0.999175547,0.999901773,0.734731514,GTF2A2,Bladder cancer,GTF2A2,"T cell, CD4, memory TREG"
"GTF2A2_Monocyte, classical",Wald_ratio,1,-0.000470076,0.000188787,NA,NA,0.012774829,NA,NA,NA,NA,NA,NA,NA,-0.000840099,-0.000100054,0.999530034,0.999160254,0.999899951,0.734731514,GTF2A2,Bladder cancer,GTF2A2,"Monocyte, classical"
"GTF2A2_T cell, CD4, TH1 TH17",Wald_ratio,1,-0.000432847,0.000173835,NA,NA,0.012774829,NA,NA,NA,NA,NA,NA,NA,-0.000773564,-9.21E-05,0.999567247,0.999226736,0.999907874,0.734731514,GTF2A2,Bladder cancer,GTF2A2,"T cell, CD4, TH1 TH17"
"GTF2A2_T cell, CD4, TH2",Wald_ratio,1,-0.00029835,0.000181955,NA,NA,0.101068842,NA,NA,NA,NA,NA,NA,NA,-0.000654981,5.83E-05,0.999701694,0.999345233,1.000058283,0.842479245,GTF2A2,Bladder cancer,GTF2A2,"T cell, CD4, TH2"
"SLC22A5_T cell, CD4, TH17",Wald_ratio,1,7.58E-05,0.000148637,NA,NA,0.609855462,NA,NA,NA,NA,NA,NA,NA,-0.000215482,0.000367176,1.000075849,0.999784541,1.000367243,0.961249275,SLC22A5,Bladder cancer,SLC22A5,"T cell, CD4, TH17"
"SLC22A5_Monocyte, non-classical",Wald_ratio,1,5.93E-05,0.00011618,NA,NA,0.609855462,NA,NA,NA,NA,NA,NA,NA,-0.000168428,0.000286996,1.000059286,0.999831586,1.000287038,0.961249275,SLC22A5,Bladder cancer,SLC22A5,"Monocyte, non-classical"
"SLC22A5_T cell, CD4, naive activated",Wald_ratio,1,5.96E-05,0.000116725,NA,NA,0.609855462,NA,NA,NA,NA,NA,NA,NA,-0.000169219,0.000288345,1.000059564,0.999830795,1.000288386,0.961249275,SLC22A5,Bladder cancer,SLC22A5,"T cell, CD4, naive activated"
"SLC22A5_NK cell, CD56dim CD16+",Wald_ratio,1,6.22E-05,0.000121868,NA,NA,0.609855462,NA,NA,NA,NA,NA,NA,NA,-0.000176674,0.000301047,1.000062189,0.999823342,1.000301093,0.961249275,SLC22A5,Bladder cancer,SLC22A5,"NK cell, CD56dim CD16+"
"SLC22A5_T cell, CD4, naive TREG",Wald_ratio,1,7.54E-05,0.000147718,NA,NA,0.609855462,NA,NA,NA,NA,NA,NA,NA,-0.00021415,0.000364905,1.00007538,0.999785873,1.000364972,0.961249275,SLC22A5,Bladder cancer,SLC22A5,"T cell, CD4, naive TREG"
"NSUN4_T cell, CD4, naive TREG",Wald_ratio,1,6.19E-05,0.000140053,NA,NA,0.658661281,NA,NA,NA,NA,NA,NA,NA,-0.000212633,0.000336373,1.000061872,0.999787389,1.00033643,0.961249275,NSUN4,Bladder cancer,NSUN4,"T cell, CD4, naive TREG"
"NSUN4_T cell, CD4, TFH",Wald_ratio,1,6.73E-05,0.000152348,NA,NA,0.658661281,NA,NA,NA,NA,NA,NA,NA,-0.000231301,0.000365904,1.000067304,0.999768726,1.000365971,0.961249275,NSUN4,Bladder cancer,NSUN4,"T cell, CD4, TFH"
"NSUN4_NK cell, CD56dim CD16+",Wald_ratio,1,5.75E-05,0.00013009,NA,NA,0.658661281,NA,NA,NA,NA,NA,NA,NA,-0.000197508,0.000312446,1.000057471,0.999802512,1.000312495,0.961249275,NSUN4,Bladder cancer,NSUN4,"NK cell, CD56dim CD16+"
"NSUN4_Monocyte, classical",Wald_ratio,1,6.12E-05,0.000138486,NA,NA,0.658661281,NA,NA,NA,NA,NA,NA,NA,-0.000210255,0.000332611,1.00006118,0.999789767,1.000332666,0.961249275,NSUN4,Bladder cancer,NSUN4,"Monocyte, classical"
"NSUN4_T cell, CD8, naive",Wald_ratio,1,5.91E-05,0.000133733,NA,NA,0.658661281,NA,NA,NA,NA,NA,NA,NA,-0.000203039,0.000321195,1.00005908,0.999796982,1.000321247,0.961249275,NSUN4,Bladder cancer,NSUN4,"T cell, CD8, naive"
"NSUN4_Monocyte, non-classical",Wald_ratio,1,5.06E-05,0.000114596,NA,NA,0.658661281,NA,NA,NA,NA,NA,NA,NA,-0.000173984,0.000275233,1.000050626,0.999826031,1.000275271,0.961249275,NSUN4,Bladder cancer,NSUN4,"Monocyte, non-classical"
"RP11-6L6.2_Monocyte, non-classical",Wald_ratio,1,-1.01E-05,0.000151094,NA,NA,0.946495551,NA,NA,NA,NA,NA,NA,NA,-0.000306284,0.000286005,0.99998986,0.999693763,1.000286046,0.995509931,RP11-6L6.2,Bladder cancer,RP11-6L6.2,"Monocyte, non-classical"
"ARNT_T cell, CD4, TH17",Wald_ratio,1,-0.000149191,0.000184341,NA,NA,0.418333112,NA,NA,NA,NA,NA,NA,NA,-0.0005105,0.000212119,0.999850821,0.99948963,1.000212141,0.958539223,ARNT,Bladder cancer,ARNT,"T cell, CD4, TH17"
"CTSK_T cell, CD4, naive TREG",Wald_ratio,1,-0.000121709,0.000150386,NA,NA,0.418333112,NA,NA,NA,NA,NA,NA,NA,-0.000416465,0.000173046,0.999878298,0.999583622,1.000173061,0.958539223,CTSK,Bladder cancer,CTSK,"T cell, CD4, naive TREG"
"ARNT_NK cell, CD56dim CD16+",Wald_ratio,1,-0.000139717,0.000172636,NA,NA,0.418333112,NA,NA,NA,NA,NA,NA,NA,-0.000478083,0.000198649,0.999860293,0.999522031,1.000198669,0.958539223,ARNT,Bladder cancer,ARNT,"NK cell, CD56dim CD16+"
"CTSK_NK cell, CD56dim CD16+",Wald_ratio,1,-0.000124315,0.000153605,NA,NA,0.418333112,NA,NA,NA,NA,NA,NA,NA,-0.000425381,0.000176751,0.999875693,0.99957471,1.000176766,0.958539223,CTSK,Bladder cancer,CTSK,"NK cell, CD56dim CD16+"
"ARNT_T cell, CD4, naive",Wald_ratio,1,-0.000141103,0.000174349,NA,NA,0.418333112,NA,NA,NA,NA,NA,NA,NA,-0.000482827,0.00020062,0.999858907,0.99951729,1.00020064,0.958539223,ARNT,Bladder cancer,ARNT,"T cell, CD4, naive"
"CTSK_T cell, CD4, TH2",Wald_ratio,1,-0.000116988,0.000144552,NA,NA,0.418333112,NA,NA,NA,NA,NA,NA,NA,-0.00040031,0.000166334,0.999883019,0.99959977,1.000166347,0.958539223,CTSK,Bladder cancer,CTSK,"T cell, CD4, TH2"
"CTSK_T cell, CD4, TH1",Wald_ratio,1,-0.000129184,0.000159622,NA,NA,0.418333112,NA,NA,NA,NA,NA,NA,NA,-0.000442042,0.000183674,0.999870824,0.999558055,1.000183691,0.958539223,CTSK,Bladder cancer,CTSK,"T cell, CD4, TH1"
"CTSK_T cell, CD4, memory TREG",Wald_ratio,1,-0.000119155,0.000147229,NA,NA,0.418333112,NA,NA,NA,NA,NA,NA,NA,-0.000407723,0.000169414,0.999880852,0.99959236,1.000169428,0.958539223,CTSK,Bladder cancer,CTSK,"T cell, CD4, memory TREG"
"MPHOSPH6_T cell, CD4, TFH",Wald_ratio,1,-3.07E-05,0.00015132,NA,NA,0.8391779,NA,NA,NA,NA,NA,NA,NA,-0.000327298,0.000265878,0.999969291,0.999672756,1.000265914,0.980243762,MPHOSPH6,Bladder cancer,MPHOSPH6,"T cell, CD4, TFH"
"MPHOSPH6_T cell, CD4, TH1",Wald_ratio,1,-2.93E-05,0.000144362,NA,NA,0.8391779,NA,NA,NA,NA,NA,NA,NA,-0.000312247,0.000253652,0.999970703,0.999687802,1.000253684,0.980243762,MPHOSPH6,Bladder cancer,MPHOSPH6,"T cell, CD4, TH1"
