id,gene,cell,method,nsnp,b,se,CIlower,CIupper,pval,intercept,intercept_se,inter_CIlower,inter_CIupper,intercept_pval,hetero_Q,hetero_pvale,lo_ci,up_ci,or,or_lci95,or_uci95,fdr,cancer,cancerid,match,PPH4,ldcheck
"RP11-617D20.1_T cell, CD4, TH17",RP11-617D20.1,"T cell, CD4, TH17",Wald_ratio,1,-0.000361321,7.16E-05,NA,NA,4.51E-07,NA,NA,NA,NA,NA,NA,NA,-0.000501664,-0.000220977,0.999638744,0.999498461,0.999779047,0.000504382,Brain cancer,ieu-b-4875,"RP11-617D20.1_T cell, CD4, TH17_Brain cancer_ieu-b-4875",0.049386802,1
"SLC22A5_T cell, CD4, naive",SLC22A5,"T cell, CD4, naive",Wald_ratio,1,-0.004028734,0.000808521,NA,NA,6.27E-07,NA,NA,NA,NA,NA,NA,NA,-0.005613435,-0.002444034,0.99597937,0.994402291,0.997558951,0.001032436,Breast cancer,ieu-b-4810,"SLC22A5_T cell, CD4, naive_Breast cancer_ieu-b-4810",0.800515179,0.995830356
"SLC22A5_T cell, CD4, memory TREG",SLC22A5,"T cell, CD4, memory TREG",Wald_ratio,1,-0.003924394,0.000787581,NA,NA,6.27E-07,NA,NA,NA,NA,NA,NA,NA,-0.005468053,-0.002380736,0.996083296,0.99454687,0.997622096,0.001032436,Breast cancer,ieu-b-4810,"SLC22A5_T cell, CD4, memory TREG_Breast cancer_ieu-b-4810",0.944708829,0.995830356
"SLC22A5_T cell, CD4, TH1 TH17",SLC22A5,"T cell, CD4, TH1 TH17",Wald_ratio,1,-0.004080157,0.000818841,NA,NA,6.27E-07,NA,NA,NA,NA,NA,NA,NA,-0.005685085,-0.002475229,0.995928155,0.994331045,0.997527832,0.001032436,Breast cancer,ieu-b-4810,"SLC22A5_T cell, CD4, TH1 TH17_Breast cancer_ieu-b-4810",0.81705244,0.995830356
"SLC22A5_T cell, CD8, naive",SLC22A5,"T cell, CD8, naive",Wald_ratio,1,-0.004321235,0.000867222,NA,NA,6.27E-07,NA,NA,NA,NA,NA,NA,NA,-0.006020991,-0.002621479,0.995688088,0.993997099,0.997381954,0.001032436,Breast cancer,ieu-b-4810,"SLC22A5_T cell, CD8, naive_Breast cancer_ieu-b-4810",0.792474531,0.995830356
"CLEC17A_Monocyte, classical",CLEC17A,"Monocyte, classical",Wald_ratio,1,0.003398812,0.000883283,NA,NA,0.00011912,NA,NA,NA,NA,NA,NA,NA,0.001667577,0.005130048,1.003404595,1.001668968,1.005143229,0.018973055,Breast cancer,ieu-b-4810,"CLEC17A_Monocyte, classical_Breast cancer_ieu-b-4810",0.001054846,1
"PPIE_Monocyte, classical",PPIE,"Monocyte, classical",Wald_ratio,1,0.002211071,0.000576687,NA,NA,0.000126029,NA,NA,NA,NA,NA,NA,NA,0.001080765,0.003341378,1.002213518,1.001081349,1.003346967,0.018973055,Breast cancer,ieu-b-4810,"PPIE_Monocyte, classical_Breast cancer_ieu-b-4810",0.375824886,0.995864285
"PPIE_T cell, CD4, naive",PPIE,"T cell, CD4, naive",Wald_ratio,1,0.002258016,0.000588931,NA,NA,0.000126029,NA,NA,NA,NA,NA,NA,NA,0.001103711,0.003412321,1.002260567,1.00110432,1.00341815,0.018973055,Breast cancer,ieu-b-4810,"PPIE_T cell, CD4, naive_Breast cancer_ieu-b-4810",0.375756435,0.995864285
"BMP8B_T cell, CD4, naive",BMP8B,"T cell, CD4, naive",Wald_ratio,1,0.003024506,0.000788846,NA,NA,0.000126029,NA,NA,NA,NA,NA,NA,NA,0.001478369,0.004570643,1.003029085,1.001479462,1.004581105,0.018973055,Breast cancer,ieu-b-4810,"BMP8B_T cell, CD4, naive_Breast cancer_ieu-b-4810",0.375756435,0.995864285
"PPIE_T cell, CD8, naive activated",PPIE,"T cell, CD8, naive activated",Wald_ratio,1,0.002257471,0.000588789,NA,NA,0.000126029,NA,NA,NA,NA,NA,NA,NA,0.001103445,0.003411497,1.002260021,1.001104054,1.003417323,0.018973055,Breast cancer,ieu-b-4810,"PPIE_T cell, CD8, naive activated_Breast cancer_ieu-b-4810",0.364997783,0.995864285
"PPIE_T cell, CD4, naive activated",PPIE,"T cell, CD4, naive activated",Wald_ratio,1,0.002303348,0.000600754,NA,NA,0.000126029,NA,NA,NA,NA,NA,NA,NA,0.001125869,0.003480826,1.002306002,1.001126503,1.003486892,0.018973055,Breast cancer,ieu-b-4810,"PPIE_T cell, CD4, naive activated_Breast cancer_ieu-b-4810",0.375753568,0.995864285
"PPIE_T cell, CD4, naive TREG",PPIE,"T cell, CD4, naive TREG",Wald_ratio,1,0.002175273,0.00056735,NA,NA,0.000126029,NA,NA,NA,NA,NA,NA,NA,0.001063267,0.00328728,1.002177641,1.001063832,1.003292689,0.018973055,Breast cancer,ieu-b-4810,"PPIE_T cell, CD4, naive TREG_Breast cancer_ieu-b-4810",0.375824886,0.995864285
"PPIE_T cell, CD4, TFH",PPIE,"T cell, CD4, TFH",Wald_ratio,1,0.002206235,0.000575426,NA,NA,0.000126029,NA,NA,NA,NA,NA,NA,NA,0.001078401,0.00333407,1.002208671,1.001078982,1.003339634,0.018973055,Breast cancer,ieu-b-4810,"PPIE_T cell, CD4, TFH_Breast cancer_ieu-b-4810",0.370360824,0.995864285
"PPIE_T cell, CD4, TH1",PPIE,"T cell, CD4, TH1",Wald_ratio,1,0.002272834,0.000592796,NA,NA,0.000126029,NA,NA,NA,NA,NA,NA,NA,0.001110954,0.003434714,1.002275419,1.001111571,1.003440619,0.018973055,Breast cancer,ieu-b-4810,"PPIE_T cell, CD4, TH1_Breast cancer_ieu-b-4810",0.375818076,0.995864285
"PPIE_T cell, CD4, TH1 TH17",PPIE,"T cell, CD4, TH1 TH17",Wald_ratio,1,0.002155946,0.00056231,NA,NA,0.000126029,NA,NA,NA,NA,NA,NA,NA,0.00105382,0.003258073,1.002158272,1.001054375,1.003263386,0.018973055,Breast cancer,ieu-b-4810,"PPIE_T cell, CD4, TH1 TH17_Breast cancer_ieu-b-4810",0.00071817,0.995864285
"PPIE_NK cell, CD56dim CD16+",PPIE,"NK cell, CD56dim CD16+",Wald_ratio,1,0.002247857,0.000586282,NA,NA,0.000126029,NA,NA,NA,NA,NA,NA,NA,0.001098745,0.003396969,1.002250386,1.001099349,1.003402745,0.018973055,Breast cancer,ieu-b-4810,"PPIE_NK cell, CD56dim CD16+_Breast cancer_ieu-b-4810",0.375819868,0.995864285
"PPIE_T cell, CD4, memory TREG",PPIE,"T cell, CD4, memory TREG",Wald_ratio,1,0.00225452,0.000588019,NA,NA,0.000126029,NA,NA,NA,NA,NA,NA,NA,0.001102002,0.003407038,1.002257064,1.00110261,1.003412849,0.018973055,Breast cancer,ieu-b-4810,"PPIE_T cell, CD4, memory TREG_Breast cancer_ieu-b-4810",0.375799081,0.995864285
PPIE_B_CELL_NAIVE,PPIE,B,Wald_ratio,1,0.002233121,0.000582438,NA,NA,0.000126029,NA,NA,NA,NA,NA,NA,NA,0.001091542,0.003374699,1.002235616,1.001092138,1.0033804,0.018973055,Breast cancer,ieu-b-4810,PPIE_B_CELL_NAIVE_Breast cancer_ieu-b-4810,0.375815209,0.995864285
"PPIE_T cell, CD4, TH17",PPIE,"T cell, CD4, TH17",Wald_ratio,1,0.002208917,0.000576125,NA,NA,0.000126029,NA,NA,NA,NA,NA,NA,NA,0.001079712,0.003338123,1.002211359,1.001080295,1.003343701,0.018973055,Breast cancer,ieu-b-4810,"PPIE_T cell, CD4, TH17_Breast cancer_ieu-b-4810",0.3758127,0.995864285
"PPIE_T cell, CD4, TH2",PPIE,"T cell, CD4, TH2",Wald_ratio,1,0.002182595,0.00056926,NA,NA,0.000126029,NA,NA,NA,NA,NA,NA,NA,0.001066845,0.003298344,1.002184978,1.001067414,1.003303789,0.018973055,Breast cancer,ieu-b-4810,"PPIE_T cell, CD4, TH2_Breast cancer_ieu-b-4810",0.375799798,0.995864285
"STAG3L5P_T cell, CD4, TH2",STAG3L5P,"T cell, CD4, TH2",Wald_ratio,1,0.002850377,0.000772283,NA,NA,0.000223512,NA,NA,NA,NA,NA,NA,NA,0.001336702,0.004364053,1.002854444,1.001337596,1.004373589,0.023592908,Breast cancer,ieu-b-4810,"STAG3L5P_T cell, CD4, TH2_Breast cancer_ieu-b-4810",0.244961277,1
"PILRB_T cell, CD8, naive",PILRB,"T cell, CD8, naive",Wald_ratio,1,0.00245201,0.000667145,NA,NA,0.0002375,NA,NA,NA,NA,NA,NA,NA,0.001144405,0.003759615,1.002455018,1.00114506,1.003766691,0.023594769,Breast cancer,ieu-b-4810,"PILRB_T cell, CD8, naive_Breast cancer_ieu-b-4810",0.232709237,1
"PILRB_T cell, CD4, TH2",PILRB,"T cell, CD4, TH2",Wald_ratio,1,0.002608708,0.00070978,NA,NA,0.0002375,NA,NA,NA,NA,NA,NA,NA,0.001217539,0.003999876,1.002612113,1.001218281,1.004007887,0.023594769,Breast cancer,ieu-b-4810,"PILRB_T cell, CD4, TH2_Breast cancer_ieu-b-4810",0.246196392,1
"PILRA_T cell, CD4, TH17",PILRA,"T cell, CD4, TH17",Wald_ratio,1,0.002508598,0.000682542,NA,NA,0.0002375,NA,NA,NA,NA,NA,NA,NA,0.001170816,0.00384638,1.002511747,1.001171501,1.003853787,0.023594769,Breast cancer,ieu-b-4810,"PILRA_T cell, CD4, TH17_Breast cancer_ieu-b-4810",0.238864125,1
"PILRB_T cell, CD4, TH1 TH17",PILRB,"T cell, CD4, TH1 TH17",Wald_ratio,1,0.002472576,0.000672741,NA,NA,0.0002375,NA,NA,NA,NA,NA,NA,NA,0.001154004,0.003791149,1.002475636,1.00115467,1.003798345,0.023594769,Breast cancer,ieu-b-4810,"PILRB_T cell, CD4, TH1 TH17_Breast cancer_ieu-b-4810",0.258751495,1
"PILRB_T cell, CD4, TH17",PILRB,"T cell, CD4, TH17",Wald_ratio,1,0.002499269,0.000680004,NA,NA,0.0002375,NA,NA,NA,NA,NA,NA,NA,0.001166462,0.003832077,1.002502395,1.001167142,1.003839429,0.023594769,Breast cancer,ieu-b-4810,"PILRB_T cell, CD4, TH17_Breast cancer_ieu-b-4810",0.238864125,1
"PILRB_T cell, CD4, TFH",PILRB,"T cell, CD4, TFH",Wald_ratio,1,0.002464173,0.000670455,NA,NA,0.0002375,NA,NA,NA,NA,NA,NA,NA,0.001150082,0.003778265,1.002467212,1.001150743,1.003785412,0.023594769,Breast cancer,ieu-b-4810,"PILRB_T cell, CD4, TFH_Breast cancer_ieu-b-4810",0.238366337,1
"PILRB_T cell, CD4, naive activated",PILRB,"T cell, CD4, naive activated",Wald_ratio,1,0.002466723,0.000671149,NA,NA,0.0002375,NA,NA,NA,NA,NA,NA,NA,0.001151272,0.003782175,1.002469768,1.001151935,1.003789336,0.023594769,Breast cancer,ieu-b-4810,"PILRB_T cell, CD4, naive activated_Breast cancer_ieu-b-4810",0.252533986,1
"PILRB_T cell, CD4, naive TREG",PILRB,"T cell, CD4, naive TREG",Wald_ratio,1,0.002458589,0.000668935,NA,NA,0.0002375,NA,NA,NA,NA,NA,NA,NA,0.001147475,0.003769702,1.002461614,1.001148134,1.003776817,0.023594769,Breast cancer,ieu-b-4810,"PILRB_T cell, CD4, naive TREG_Breast cancer_ieu-b-4810",0.041678429,1
"PILRB_Monocyte, non-classical",PILRB,"Monocyte, non-classical",Wald_ratio,1,0.002470412,0.000672152,NA,NA,0.0002375,NA,NA,NA,NA,NA,NA,NA,0.001152994,0.003787831,1.002473466,1.001153659,1.003795014,0.023594769,Breast cancer,ieu-b-4810,"PILRB_Monocyte, non-classical_Breast cancer_ieu-b-4810",0.239460613,1
"CASP8_T cell, CD4, memory TREG",CASP8,"T cell, CD4, memory TREG",Wald_ratio,1,-0.00241032,0.000684353,NA,NA,0.000428236,NA,NA,NA,NA,NA,NA,NA,-0.003751651,-0.001068988,0.997592583,0.996255378,0.998931583,0.035376,Breast cancer,ieu-b-4810,"CASP8_T cell, CD4, memory TREG_Breast cancer_ieu-b-4810",0.15063211,0.991516071
"CASP8_T cell, CD4, naive TREG",CASP8,"T cell, CD4, naive TREG",Wald_ratio,1,-0.002567635,0.000729019,NA,NA,0.000428236,NA,NA,NA,NA,NA,NA,NA,-0.003996512,-0.001138758,0.997435658,0.996011463,0.99886189,0.035376,Breast cancer,ieu-b-4810,"CASP8_T cell, CD4, naive TREG_Breast cancer_ieu-b-4810",0.000923588,0.991516071
"CASP8_Monocyte, classical",CASP8,"Monocyte, classical",Wald_ratio,1,-0.002394029,0.000679728,NA,NA,0.000428236,NA,NA,NA,NA,NA,NA,NA,-0.003726295,-0.001061763,0.997608834,0.996280639,0.9989388,0.035376,Breast cancer,ieu-b-4810,"CASP8_Monocyte, classical_Breast cancer_ieu-b-4810",0.314107492,0.991516071
"CASP8_T cell, CD4, TH1 TH17",CASP8,"T cell, CD4, TH1 TH17",Wald_ratio,1,-0.002525773,0.000717133,NA,NA,0.000428236,NA,NA,NA,NA,NA,NA,NA,-0.003931354,-0.001120192,0.997477414,0.996076364,0.998880435,0.035376,Breast cancer,ieu-b-4810,"CASP8_T cell, CD4, TH1 TH17_Breast cancer_ieu-b-4810",0.289822593,0.991516071
"CASP8_T cell, CD4, TH17",CASP8,"T cell, CD4, TH17",Wald_ratio,1,-0.00249352,0.000707976,NA,NA,0.000428236,NA,NA,NA,NA,NA,NA,NA,-0.003881152,-0.001105888,0.997509586,0.99612637,0.998894723,0.035376,Breast cancer,ieu-b-4810,"CASP8_T cell, CD4, TH17_Breast cancer_ieu-b-4810",0.313855367,0.991516071
"CASP8_T cell, CD4, naive",CASP8,"T cell, CD4, naive",Wald_ratio,1,-0.002502111,0.000710415,NA,NA,0.000428236,NA,NA,NA,NA,NA,NA,NA,-0.003894525,-0.001109698,0.997501016,0.996113049,0.998890917,0.035376,Breast cancer,ieu-b-4810,"CASP8_T cell, CD4, naive_Breast cancer_ieu-b-4810",0.000455039,0.991516071
CASP8_B_CELL_NAIVE,CASP8,B,Wald_ratio,1,-0.003467898,0.000984627,NA,NA,0.000428236,NA,NA,NA,NA,NA,NA,NA,-0.005397766,-0.001538029,0.996538109,0.994616775,0.998463153,0.035376,Breast cancer,ieu-b-4810,CASP8_B_CELL_NAIVE_Breast cancer_ieu-b-4810,0.003696163,0.991516071
"CASP8_T cell, CD4, TFH",CASP8,"T cell, CD4, TFH",Wald_ratio,1,-0.00242161,0.000687559,NA,NA,0.000428236,NA,NA,NA,NA,NA,NA,NA,-0.003769225,-0.001073996,0.997581319,0.996237869,0.998926581,0.035376,Breast cancer,ieu-b-4810,"CASP8_T cell, CD4, TFH_Breast cancer_ieu-b-4810",0.15061832,0.991516071
"CASP8_T cell, CD4, TH2",CASP8,"T cell, CD4, TH2",Wald_ratio,1,-0.002594098,0.000736532,NA,NA,0.000428236,NA,NA,NA,NA,NA,NA,NA,-0.004037702,-0.001150495,0.997409263,0.995970438,0.998850167,0.035376,Breast cancer,ieu-b-4810,"CASP8_T cell, CD4, TH2_Breast cancer_ieu-b-4810",0.314480061,0.991516071
"CASP8_Monocyte, non-classical",CASP8,"Monocyte, non-classical",Wald_ratio,1,-0.002486023,0.000691601,NA,NA,0.000324902,NA,NA,NA,NA,NA,NA,NA,-0.003841561,-0.001130485,0.997517065,0.996165808,0.998870154,0.029395864,Breast cancer,ieu-b-4810,"CASP8_Monocyte, non-classical_Breast cancer_ieu-b-4810",0.328980657,1
"CASP8_NK cell, CD56dim CD16+",CASP8,"NK cell, CD56dim CD16+",Wald_ratio,1,-0.002639947,0.000734422,NA,NA,0.000324902,NA,NA,NA,NA,NA,NA,NA,-0.004079414,-0.001200479,0.997363535,0.995928896,0.998800241,0.029395864,Breast cancer,ieu-b-4810,"CASP8_NK cell, CD56dim CD16+_Breast cancer_ieu-b-4810",0.15079467,1
AP006621.1_B_CELL_NAIVE,AP006621.1,B,Wald_ratio,1,0.004054582,0.001034771,NA,NA,8.92E-05,NA,NA,NA,NA,NA,NA,NA,0.002026431,0.006082734,1.004062813,1.002028485,1.006101271,0.018823067,Breast cancer,ieu-b-4810,AP006621.1_B_CELL_NAIVE_Breast cancer_ieu-b-4810,0.008550602,1
"STAG3L5P_T cell, CD4, memory TREG",STAG3L5P,"T cell, CD4, memory TREG",Wald_ratio,1,0.00283069,0.000792132,NA,NA,0.00035223,NA,NA,NA,NA,NA,NA,NA,0.001278111,0.004383269,1.0028347,1.001278929,1.004392889,0.030769535,Breast cancer,ieu-b-4810,"STAG3L5P_T cell, CD4, memory TREG_Breast cancer_ieu-b-4810",0.214690665,0.844656579
"STAG3L5P_Monocyte, non-classical",STAG3L5P,"Monocyte, non-classical",Wald_ratio,1,0.003391558,0.000949084,NA,NA,0.00035223,NA,NA,NA,NA,NA,NA,NA,0.001531354,0.005251762,1.003397316,1.001532527,1.005265577,0.030769535,Breast cancer,ieu-b-4810,"STAG3L5P_Monocyte, non-classical_Breast cancer_ieu-b-4810",0.241373132,0.844656579
"STAG3L5P_T cell, CD4, naive",STAG3L5P,"T cell, CD4, naive",Wald_ratio,1,0.002922318,0.000757765,NA,NA,0.000115023,NA,NA,NA,NA,NA,NA,NA,0.001437099,0.004407538,1.002926592,1.001438132,1.004417265,0.018973055,Breast cancer,ieu-b-4810,"STAG3L5P_T cell, CD4, naive_Breast cancer_ieu-b-4810",0.261300113,0.986239665
"STAG3L5P_T cell, CD8, naive",STAG3L5P,"T cell, CD8, naive",Wald_ratio,1,0.002629665,0.000681879,NA,NA,0.000115023,NA,NA,NA,NA,NA,NA,NA,0.001293182,0.003966148,1.002633125,1.001294018,1.003974023,0.018973055,Breast cancer,ieu-b-4810,"STAG3L5P_T cell, CD8, naive_Breast cancer_ieu-b-4810",0.23270922,0.986239665
"STAG3L5P_T cell, CD4, TH17",STAG3L5P,"T cell, CD4, TH17",Wald_ratio,1,0.002703811,0.000701105,NA,NA,0.000115023,NA,NA,NA,NA,NA,NA,NA,0.001329644,0.004077977,1.002707469,1.001330529,1.004086303,0.018973055,Breast cancer,ieu-b-4810,"STAG3L5P_T cell, CD4, TH17_Breast cancer_ieu-b-4810",0.238864076,0.986239665
"STAG3L5P_T cell, CD4, naive TREG",STAG3L5P,"T cell, CD4, naive TREG",Wald_ratio,1,0.00268724,0.000696809,NA,NA,0.000115023,NA,NA,NA,NA,NA,NA,NA,0.001321496,0.004052985,1.002690854,1.001322369,1.00406121,0.018973055,Breast cancer,ieu-b-4810,"STAG3L5P_T cell, CD4, naive TREG_Breast cancer_ieu-b-4810",0.041636834,0.986239665
"STAG3L5P_T cell, CD4, TFH",STAG3L5P,"T cell, CD4, TFH",Wald_ratio,1,0.002706433,0.000701785,NA,NA,0.000115023,NA,NA,NA,NA,NA,NA,NA,0.001330934,0.004081933,1.002710099,1.00133182,1.004090275,0.018973055,Breast cancer,ieu-b-4810,"STAG3L5P_T cell, CD4, TFH_Breast cancer_ieu-b-4810",0.233465558,0.986239665
"PILRA_T cell, CD8, naive activated",PILRA,"T cell, CD8, naive activated",Wald_ratio,1,0.002842887,0.000758756,NA,NA,0.000179125,NA,NA,NA,NA,NA,NA,NA,0.001355725,0.004330049,1.002846932,1.001356644,1.004339438,0.020451334,Breast cancer,ieu-b-4810,"PILRA_T cell, CD8, naive activated_Breast cancer_ieu-b-4810",0.284198468,1
"PILRB_Monocyte, classical",PILRB,"Monocyte, classical",Wald_ratio,1,0.002540366,0.000678015,NA,NA,0.000179125,NA,NA,NA,NA,NA,NA,NA,0.001211458,0.003869275,1.002543596,1.001212192,1.00387677,0.020451334,Breast cancer,ieu-b-4810,"PILRB_Monocyte, classical_Breast cancer_ieu-b-4810",0.272249416,1
"PILRA_T cell, CD4, TFH",PILRA,"T cell, CD4, TFH",Wald_ratio,1,0.002650037,0.000707285,NA,NA,0.000179125,NA,NA,NA,NA,NA,NA,NA,0.001263758,0.004036317,1.002653552,1.001264557,1.004044474,0.020451334,Breast cancer,ieu-b-4810,"PILRA_T cell, CD4, TFH_Breast cancer_ieu-b-4810",0.238366337,1
"LRRC37A4P_Monocyte, classical",LRRC37A4P,"Monocyte, classical",Wald_ratio,1,0.002957851,0.000746728,NA,NA,7.46E-05,NA,NA,NA,NA,NA,NA,NA,0.001494264,0.004421438,1.00296223,1.001495381,1.004431227,0.016436091,Breast cancer,ieu-b-4810,"LRRC37A4P_Monocyte, classical_Breast cancer_ieu-b-4810",0.23581473,1
"LRRC37A4P_T cell, CD4, TFH",LRRC37A4P,"T cell, CD4, TFH",Wald_ratio,1,0.00300131,0.0007577,NA,NA,7.46E-05,NA,NA,NA,NA,NA,NA,NA,0.001516218,0.004486401,1.003005818,1.001517368,1.00449648,0.016436091,Breast cancer,ieu-b-4810,"LRRC37A4P_T cell, CD4, TFH_Breast cancer_ieu-b-4810",0.201841766,1
"LRRC37A4P_T cell, CD4, TH1 TH17",LRRC37A4P,"T cell, CD4, TH1 TH17",Wald_ratio,1,0.002972893,0.000750526,NA,NA,7.46E-05,NA,NA,NA,NA,NA,NA,NA,0.001501862,0.004443923,1.002977316,1.001502991,1.004453811,0.016436091,Breast cancer,ieu-b-4810,"LRRC37A4P_T cell, CD4, TH1 TH17_Breast cancer_ieu-b-4810",0.202447873,1
